Catalog Number,Calendar Date,Eclipse Time,Eclipse Type,Eclipse Magnitude,Latitude,Longitude
9275,1898 January 22,7:19:12,T,1.0244,9.5N,63.6E
9276,1898 July 18,19:36:54,A,0.945,35.7S,130.1W
9277,1898 December 13,11:58:13,P,0.0231,66.8S,174.5E
9278,1899 January 11,22:38:02,P,0.7158,64.0N,167.5E
9279,1899 June 8,6:33:43,P,0.6076,67.2N,98.9W
9280,1899 December 3,0:57:28,A,0.9836,86.6S,121.5E
9281,1900 May 28,14:53:56,T,1.0249,44.8N,46.5W
9282,1900 November 22,7:19:43,A,0.9421,33.1S,64.8E
9283,1901 May 18,5:33:48,T,1.068,1.7S,98.4E
9284,1901 November 11,7:28:21,A,0.9216,10.8N,68.9E
9285,1902 April 8,14:05:06,Pe,0.0643,71.7N,142.4W
9286,1902 May 7,22:34:16,P,0.8593,70.0S,125.1W
9287,1902 October 31,8:00:18,P,0.696,70.8N,100.8E
9288,1903 March 29,1:35:23,A,0.9767,56.2N,130.3E
9289,1903 September 21,4:39:52,T,1.0316,58.0S,77.2E
9290,1904 March 17,5:40:44,A,0.9367,5.6N,94.7E
9291,1904 September 9,20:44:21,T,1.0709,3.7S,134.5W
9292,1905 March 6,5:12:26,A,0.9269,39.5S,117.4E
9293,1905 August 30,13:07:26,T,1.0477,42.5N,4.3W
9294,1906 February 23,7:43:20,P,0.5386,71.4S,170.3W
9295,1906 July 21,13:14:19,P,0.3355,68.6S,33.3W
9296,1906 August 20,1:12:50,P,0.3147,70.8N,66.4W
9297,1907 January 14,6:05:43,T,1.0281,38.3N,86.4E
9298,1907 July 10,15:24:32,A,0.9456,16.9S,50.9W
9299,1908 January 3,21:45:22,T,1.0437,11.8S,145.1W
9300,1908 June 28,16:29:51,A,0.9655,31.4N,67.2W
9301,1908 December 23,11:44:28,H,1.0024,53.4S,0.5W
9302,1909 June 17,23:18:38,H,1.0065,82.9N,123.6E
9303,1909 December 12,19:44:48,P,0.5424,65.0S,86.0E
9304,1910 May 9,5:42:13,T,1.06,48.2S,125.2E
9305,1910 November 2,2:08:32,P,0.8515,61.9N,155.1W
9306,1911 April 28,22:27:22,T,1.0562,1.9N,151.9W
9307,1911 October 22,4:13:02,A,0.965,6.3N,121.4E
9308,1912 April 17,11:34:22,H,1.0003,38.4N,11.3W
9309,1912 October 10,13:36:14,T,1.0229,28.1S,40.1W
9310,1913 April 6,17:33:07,P,0.4244,61.2N,175.7E
9311,1913 August 31,20:52:12,P,0.1513,61.5N,26.8W
9312,1913 September 30,4:45:49,P,0.8252,61.0S,11.6E
9313,1914 February 25,0:13:01,A,0.9248,62.1S,113.3W
9314,1914 August 21,12:34:27,T,1.0328,54.5N,27.1E
9315,1915 February 14,4:33:20,A,0.9789,24.0S,120.7E
9316,1915 August 10,22:52:25,A,0.9853,16.4N,161.4W
9317,1916 February 3,16:00:21,T,1.028,11.1N,67.7W
9318,1916 July 30,2:06:10,A,0.9447,29.0S,132.4E
9319,1916 December 24,20:46:22,P,0.0114,65.7S,32.1E
9320,1917 January 23,7:28:31,P,0.7254,63.2N,25.6E
9321,1917 June 19,13:16:21,P,0.4729,66.2N,150.1E
9322,1917 July 19,2:42:42,Pb,0.0863,63.7S,101.8E
9323,1917 December 14,9:27:20,A,0.9791,88.0S,124.8E
9324,1918 June 8,22:07:43,T,1.0292,50.9N,152.0W
9325,1918 December 3,15:22:02,A,0.9383,36.1S,53.7W
9326,1919 May 29,13:08:55,T,1.0719,4.4N,16.7W
9327,1919 November 22,15:14:12,A,0.9198,6.9N,48.9W
9328,1920 May 18,6:14:55,P,0.9734,69.1S,107.7E
9329,1920 November 10,15:52:15,P,0.742,69.9N,29.8W
9330,1921 April 8,9:15:01,A,0.9753,64.5N,5.6E
9331,1921 October 1,12:35:58,T,1.0293,66.1S,56.1W
9332,1922 March 28,13:05:26,A,0.9381,12.3N,18.0W
9333,1922 September 21,4:40:31,T,1.0678,10.7S,104.5E
9334,1923 March 17,12:44:58,A,0.931,33.0S,2.4E
9335,1923 September 10,20:47:29,T,1.043,34.7N,121.8W
9336,1924 March 5,15:44:20,P,0.5819,71.9S,55.6E
9337,1924 July 31,19:58:20,P,0.192,69.6S,146.0W
9338,1924 August 30,8:23:00,P,0.4245,71.5N,172.9E
9339,1925 January 24,14:54:03,T,1.0304,40.5N,49.6W
9340,1925 July 20,21:48:42,A,0.9436,25.3S,150.0W
9341,1926 January 14,6:36:58,T,1.043,10.1S,82.3E
9342,1926 July 9,23:06:02,A,0.968,25.6N,165.1W
9343,1927 January 3,20:22:53,A,0.9995,52.8S,124.8W
9344,1927 June 29,6:23:27,T,1.0128,78.1N,73.8E
9345,1927 December 24,3:59:41,P,0.549,66.1S,47.7W
9346,1928 May 19,13:24:20,T-,1.014,63.3S,22.5E
9347,1928 June 17,20:27:28,Pb,0.0375,65.6N,70.6E
9348,1928 November 12,9:48:24,P,0.8078,62.6N,81.1E
9349,1929 May 9,6:10:34,T,1.0562,1.6N,92.7E
9350,1929 November 1,12:05:10,A,0.9649,4.5N,3.1E
9351,1930 April 28,19:03:34,H,1.0003,39.4N,121.2W
9352,1930 October 21,21:43:53,T,1.023,30.5S,161.1W
9353,1931 April 18,0:45:35,P,0.5107,61.5N,58.9E
9354,1931 September 12,4:41:25,Pe,0.0471,61.2N,152.8W
9355,1931 October 11,12:55:40,P,0.9005,61.2S,119.5W
9356,1932 March 7,7:55:50,A,0.9277,60.7S,134.4E
9357,1932 August 31,20:03:41,T,1.0257,54.5N,79.5W
9358,1933 February 24,12:46:39,A,0.9841,20.8S,2.1W
9359,1933 August 21,5:49:11,A,0.9801,16.9N,95.9E
9360,1934 February 14,0:38:41,T,1.0321,13.2N,161.7E
9361,1934 August 10,8:37:48,A,0.9436,24.5S,34.6E
